flightId,timestamp,lat,lon,probability
34,09:46:31,48.99578,9.09146,0.8604264
34,09:46:32,48.99578,9.09173,0.8642638
34,09:46:33,48.99577,9.09201,0.86812264
34,09:46:34,48.99577,9.09228,0.87342954
34,09:46:35,48.99576,9.09255,0.8793294
34,09:46:36,48.99575,9.09283,0.88389057
34,09:46:37,48.99575,9.09311,0.8855322
34,09:46:38,48.99574,9.09337,0.88345885
34,09:46:39,48.99573,9.09365,0.8887481
34,09:46:40,48.99573,9.09393,0.89371413
34,09:46:41,48.99572,9.0942,0.90038306
34,09:46:43,48.99571,9.09476,0.90994906
34,09:46:44,48.9957,9.09503,0.9099023
34,09:46:45,48.9957,9.09531,0.90921336
34,09:46:46,48.99569,9.09558,0.9096441
34,09:46:47,48.99569,9.09585,0.9110525
34,09:46:48,48.99568,9.09613,0.92119
34,09:46:49,48.99568,9.09641,0.92877877
34,09:46:50,48.99567,9.09669,0.9335593
34,09:46:51,48.99567,9.09698,0.9388094
34,09:46:52,48.99567,9.09726,0.9441944
34,09:46:53,48.99567,9.09755,0.948447
34,09:46:54,48.99569,9.09783,0.946591
34,09:46:54,48.99569,9.09783,0.946591
34,09:46:55,48.99572,9.09811,0.9456358
34,09:46:56,48.99579,9.09837,0.9421281
34,09:46:57,48.9959,9.09861,0.9365537
34,09:46:59,48.99624,9.09897,0.9233327
34,09:47:00,48.99645,9.09906,0.92098576
34,09:47:01,48.99668,9.0991,0.9181531
34,09:47:02,48.99692,9.0991,0.9072521
34,09:47:03,48.99716,9.09906,0.92708683
34,09:47:04,48.99741,9.09901,0.9221198
34,09:47:05,48.99766,9.09896,0.92150617
34,09:47:06,48.99789,9.0989,0.91755384
34,09:47:07,48.99814,9.09882,0.92025167
34,09:47:08,48.99837,9.09876,0.89996046
34,09:47:09,48.9986,9.09871,0.9031163
34,09:47:10,48.99883,9.09866,0.86924416
34,09:47:11,48.99905,9.0986,0.8807481
34,09:47:12,48.99928,9.09849,0.90507
34,09:47:13,48.99948,9.0983,0.91229486
34,09:47:15,48.99981,9.09772,0.9312643
34,09:47:16,48.99993,9.09733,0.94237775
34,09:47:17,49.00001,9.0969,0.9390321
34,09:47:18,49.00006,9.09644,0.9476315
34,09:47:19,49.00009,9.09598,0.9388684
34,09:47:20,49.00011,9.09551,0.9444239
34,09:47:21,49.00014,9.09506,0.93404096
34,09:47:22,49.00016,9.0946,0.9372336
34,09:47:23,49.00018,9.09415,0.9146565
34,09:47:24,49.0002,9.09371,0.90215766
34,09:47:25,49.00022,9.09328,0.846127
34,09:47:26,49.00025,9.09285,0.8317822
34,09:47:27,49.00028,9.09242,0.8053384
34,09:47:28,49.0003,9.092,0.6742729
34,09:47:29,49.00033,9.09158,0.5886925
34,09:47:31,49.00039,9.09076,0.35491207
34,09:47:32,49.00041,9.09036,0.23495872
34,09:47:33,49.00044,9.08995,0.1798803
34,09:47:34,49.00048,9.08954,0.1086072
34,09:47:35,49.00051,9.08913,0.07692439
34,09:47:36,49.00055,9.08871,0.040480353
34,09:47:37,49.00058,9.08829,0.028073397
34,09:47:38,49.00061,9.08788,0.012627951
34,09:47:39,49.00065,9.08746,0.008072572
34,09:47:40,49.00068,9.08706,0.003244002
34,09:47:41,49.00071,9.08664,0.0019049358
34,09:47:42,49.00075,9.08623,0.00092031894
34,09:47:43,49.00079,9.08582,0.00089292304
34,09:47:44,49.00083,9.08543,0.0005797424
34,09:47:45,49.00087,9.08504,0.00022338805
34,09:47:47,49.00095,9.08431,6.0374303e-05
34,09:47:48,49.00098,9.08397,3.9896127e-05
34,09:47:49,49.00102,9.08365,1.6740361e-05
34,09:47:50,49.00105,9.08335,1.34389165e-05
34,09:47:51,49.00108,9.08306,6.1236365e-06
34,09:47:52,49.0011,9.08279,4.9481555e-06
34,09:47:53,49.00112,9.08254,2.4231128e-06
34,09:47:54,49.00113,9.0823,2.005899e-06
34,09:47:55,49.00115,9.08207,5.4920156e-07
34,09:47:56,49.00117,9.08186,2.6092619e-07
34,09:47:57,49.00118,9.08166,2.502697e-07
34,09:47:58,49.00119,9.08147,2.1493967e-07
34,09:47:59,49.00121,9.0813,2.0805369e-07
34,09:48:00,49.00122,9.08113,1.55157e-07
34,09:48:01,49.00124,9.08098,9.0364715e-08
34,09:48:03,49.00128,9.0807,2.5385393e-08
34,09:48:04,49.00131,9.08057,1.7715136e-08
34,09:48:05,49.00133,9.08045,1.0656399e-08
34,09:48:06,49.00134,9.08034,6.5349335e-09
34,09:48:07,49.00136,9.08025,4.371101e-09
34,09:48:08,49.00138,9.08016,2.8772484e-09
34,09:48:09,49.0014,9.08008,2.0518496e-09
34,09:48:10,49.00141,9.08001,1.6201926e-09
34,09:48:11,49.00143,9.07995,1.1306087e-09
34,09:48:12,49.00144,9.0799,8.2755136e-10
34,09:48:13,49.00144,9.07989,6.010519e-10
35,10:01:20,49.00908,9.07676,0.22845608
35,10:01:21,49.00893,9.07693,0.21175474
35,10:01:23,49.00873,9.07737,0.17977205
35,10:01:24,49.00869,9.07762,0.16979504
35,10:01:25,49.00871,9.07788,0.1596133
35,10:01:26,49.00875,9.07814,0.1391488
35,10:01:27,49.00879,9.0784,0.10010129
35,10:01:28,49.00885,9.07866,0.09309208
35,10:01:29,49.00891,9.07891,0.08141107
35,10:01:30,49.00896,9.07917,0.06833265
35,10:01:31,49.00901,9.07942,0.065769
35,10:01:32,49.00905,9.07967,0.058156207
35,10:01:33,49.0091,9.07993,0.055712283
35,10:01:34,49.00913,9.08018,0.05257807
35,10:01:35,49.00915,9.08044,0.054441534
35,10:01:36,49.00917,9.0807,0.053467955
35,10:01:37,49.00919,9.08096,0.055140976
35,10:01:39,49.0092,9.0815,0.05220802
35,10:01:40,49.0092,9.08178,0.053216044
35,10:01:41,49.0092,9.08206,0.056788787
35,10:01:42,49.00921,9.08234,0.06576044
35,10:01:43,49.00921,9.08262,0.059889626
35,10:01:43,49.00921,9.08262,0.059889626
35,10:01:44,49.00921,9.0829,0.053361855
35,10:01:45,49.00921,9.08319,0.053353056
35,10:01:46,49.00921,9.08348,0.05702324
35,10:01:47,49.0092,9.08377,0.057689764
35,10:01:48,49.0092,9.08406,0.05901398
35,10:01:49,49.00919,9.08434,0.057403438
35,10:01:50,49.00918,9.08463,0.06081069
35,10:01:51,49.00918,9.08491,0.059467506
35,10:01:52,49.00917,9.08518,0.058136556
35,10:01:53,49.00915,9.08545,0.059996095
35,10:01:55,49.00913,9.08598,0.06398761
35,10:01:56,49.00913,9.08625,0.066583574
35,10:01:57,49.00913,9.08651,0.064206265
35,10:01:58,49.00913,9.08678,0.066570394
35,10:01:59,49.00913,9.08705,0.06184965
35,10:02:00,49.00913,9.08732,0.057552792
35,10:02:01,49.00912,9.0876,0.053708874
35,10:02:02,49.00912,9.08787,0.05096833
35,10:02:03,49.00911,9.08815,0.04883116
35,10:02:04,49.0091,9.08843,0.04807791
35,10:02:05,49.00908,9.08871,0.04640317
35,10:02:06,49.00907,9.08899,0.047115233
35,10:02:07,49.00906,9.08927,0.050442107
35,10:02:08,49.00908,9.08955,0.05721828
35,10:02:09,49.00915,9.08981,0.05817139
35,10:02:11,49.00943,9.09022,0.051367167
35,10:02:12,49.00963,9.09034,0.048502803
35,10:02:13,49.00985,9.09038,0.046200525
35,10:02:14,49.01009,9.09034,0.05219559
35,10:02:14,49.01009,9.09034,0.05219559
35,10:02:15,49.01034,9.09022,0.061030477
35,10:02:16,49.01058,9.09008,0.051841166
35,10:02:17,49.01083,9.08993,0.047312368
35,10:02:18,49.01107,9.08978,0.044891685
35,10:02:19,49.01131,9.08962,0.04891765
35,10:02:20,49.01154,9.08946,0.04696971
35,10:02:21,49.01176,9.0893,0.048867665
35,10:02:22,49.01198,9.08915,0.047855426
35,10:02:23,49.01219,9.08902,0.04773273
35,10:02:24,49.01241,9.08889,0.050678242
35,10:02:25,49.01263,9.08878,0.04944752
35,10:02:27,49.01306,9.08871,0.074633576
35,10:02:28,49.01326,9.08877,0.064161435
35,10:02:29,49.01344,9.0889,0.036830947
